"","Preferred.Label","Class.ID"
"1","agricultural process","http://purl.obolibrary.org/obo/ENVO_01001246"
"2","agricultural process","http://purl.obolibrary.org/obo/AGRO_00002071"
"3","anatomical entity","http://purl.obolibrary.org/obo/CARO_0000000"
"4","anatomical entity","http://purl.obolibrary.org/obo/UBERON_0001062"
"5","animal manure","http://purl.obolibrary.org/obo/ENVO_00003031"
"6","animal manure","http://purl.obolibrary.org/obo/AGRO_00000079"
"7","elevation","http://purl.obolibrary.org/obo/ENVO_00000176"
"8","elevation","http://purl.obolibrary.org/obo/PATO_0001687"
"9","food additive","http://purl.obolibrary.org/obo/CHEBI_64047"
"10","food additive","http://purl.obolibrary.org/obo/FOODON_03412972"
"11","micromole","http://purl.obolibrary.org/obo/UO_0010048"
"12","micromole","http://purl.obolibrary.org/obo/UO_0000039"
"13","milli","http://purl.obolibrary.org/obo/UO_0010009"
"14","milli","http://purl.obolibrary.org/obo/UO_0000297"
"15","quality","http://purl.obolibrary.org/obo/BFO_0000019"
"16","quality","http://purl.obolibrary.org/obo/PATO_0000001"
"17","role","http://purl.obolibrary.org/obo/BFO_0000023"
"18","role","http://purl.obolibrary.org/obo/CHEBI_50906"
"19","root","http://purl.obolibrary.org/obo/PO_0009005"
"20","root","http://purl.obolibrary.org/obo/NCBITaxon_1"
"21","seedling","http://purl.obolibrary.org/obo/PO_0008037"
"22","seedling","http://purl.obolibrary.org/obo/AGRO_00000548"
