"issue","title","creator","state","comments","created","body"
1238,"NTRs related to equipment found in food processing facilities","BarryFen","open",0,"2021-11-08T03:37:04Z","Hi,
 
We are requesting 2 new terms related to equipment found in food processing facilities.
Requests can be found here: [terms](https://docs.google.com/spreadsheets/d/1ocymTOF1QyWs8V8lC41SWPWsn4M12lE7PyNZKx_0Cas/edit?usp=sharing)
"
1236,"added class 'organic matter content in soil' per issue #413","KrishnaTO","open",0,"2021-11-05T01:01:13Z","followed example from 'concentration of' subclasses.

closes #413  part of [Agronomy project](https://github.com/EnvironmentOntology/envo/projects/3)"
1235,"Added class 'pressure of vapour' per issue #366 ","KrishnaTO","open",4,"2021-11-05T00:32:16Z","closes #366 

Issue #366  part of [Agronomy project](https://github.com/EnvironmentOntology/envo/projects/3)"
1234,"Add synonym - photosynthetically active radiation [PAR]","KrishnaTO","open",0,"2021-11-03T13:22:27Z","### Term
[photosynthetically active radiation](http://purl.obolibrary.org/obo/ENVO_01001864)

### Synonym
PAR

### Reason
PAR is a common acronym for concept; and sufficiently unique in ENVO
Part of AgrO issue [#134](https://github.com/AgriculturalSemantics/agro/issues/134)"
1232,"Added classes per issue #396","KrishnaTO","open",0,"2021-10-29T22:18:01Z","Added 2 classes:
hydrological evaporation in soil
water evaporation rate in soil

Issue #396  part of [Agronomy project](https://github.com/EnvironmentOntology/envo/projects/3)

closes #396 "
1231,"Added class 'water table' and 'water table depth' per issue #358","KrishnaTO","open",0,"2021-10-29T14:39:22Z","Issue #358  part of [Agronomy project](https://github.com/EnvironmentOntology/envo/projects/3)

closes #358 "
1230,"Added class per issue #375","KrishnaTO","open",0,"2021-10-29T01:35:08Z","Issue #375 part of [Agronomy project](https://github.com/EnvironmentOntology/envo/projects/3)

 closes #375 "
1229,"Issue 367 - Add synonym for acidity of soul","KrishnaTO","open",0,"2021-10-29T01:30:58Z","Issue #367 part of [Agronomy project](https://github.com/EnvironmentOntology/envo/projects/3)

closes #367 "
1228,"Added CC pattern classes (desc for issues list)","KrishnaTO","open",3,"2021-10-29T01:13:27Z","Addresses issues from [Agronomy project](https://github.com/EnvironmentOntology/envo/projects/3) 
 closes #369
 closes #370
 closes #371
 closes #372
 closes #373
 closes #374
 closes #394
 closes #401
 closes #402
 closes #403
 closes #404
 closes #405
 closes #406
 closes #407
 closes #408
 closes #409
 closes #410
 closes #411
 closes #412
 closes #414

All terms added are related to concentrations."
1226,"Documentation: no NTR should ever subclass a non-ENVO class","cmungall","open",10,"2021-10-27T19:11:46Z"," * See #1105. 

If you are making an NTR to ENVO, every one of your terms MUST subclass at least one ENVO class (or use an ENVO class in a genus) and MUST NOT assert a subclass axiom to any non-ENVO class

Only core ENVO editors should ever subclass to BFO, CHEBI, OBI, etc. If you think you really need to subclass a non-ENVO class, open a specific issue just for this one case and we will discuss. In some cases it may transpire we need to better document our DPs.

For example, we should not subclass CHEBI. Instead subclass material, and used composed-primarily-of to link to CHEBI. ENVO represents a different level of granularity than CHEBI.

(Furthermore, I think even core ENVO editors should ONLY subclass ENVO or COB, but that is for another issue)

Rationale: subclassing non-ENVO classes is poor modularization and leads to issues. Additionally the axioms are likely wrong (see my comments on bottle in #1105) 

Aside: OWL is a very powerful language that allows you to do all kinds of interesting things weaving together different ontologies, but a good rule of thumb is **keep it simple** and avoid trying to do anything clever.

Indicate whether you are in favor with a comment +1, -1, +0 with any additional comments.
"
1225,"New term: Constructed wetland = def. A wetland which was constructed","tantascamila","open",0,"2021-10-21T12:28:18Z",
1224,"New synonym request : dead organic matter","nleguillarme","open",1,"2021-10-21T11:38:39Z","""dead organic matter"" as a synonym of ""detritus"""
1223,"Distinguish plant litter from leaf litter","nleguillarme","open",2,"2021-10-19T13:42:43Z","Hi,
Soil ecologists distinguish between plant litter and leaf litter, the latter being a subclass of the former : Plant litter = leaf litter+root litter+wood litter

Suggestion : create a class 'leaf litter' as a subclass of 'plant litter'"
1221,"fixes #402","marieALaporte","open",4,"2021-10-14T08:53:40Z","I started adding the iron concentration term in the entity_attribute_location.csv file as stated here #1217. As deleting the line in the csv was deleting the obsoleted term completely, I decided to use the chemical_concentration pattern instead. 
Not sure what the recommendation is when several patterns can be used to add a term.  

@KrishnaTO I believe you can use this PR as an example to add the other terms, for which we have opened tickets. Could you use the pattern (chemical_concentration) to add the terms? Thanks"
1220,"NT: monument. Fixes #1213","cmungall","open",1,"2021-10-13T23:37:37Z",
1218,"Makefile refactor WIP","cmungall","open",0,"2021-10-08T15:50:37Z","EXPERIMENTAL: changes to Makefile"
1217,"issue when adding terms using the entity_attribute_location template","marieALaporte","open",1,"2021-10-08T07:44:17Z","I was trying to propose more concentration terms relevant to soil and liquid water using the pattern approach and the template entity_attribute_location. I used the dedicated ID range for that specific pattern to create IDs for the new terms. 
I added my terms directly to the corresponding module, and then ran the command that was in the Makefile for making the the modules (dosdp generate and robot annotate). 

When looking at the diffs of the entity_attribute_location.owl file that I got in return, I see that one term ('concentration of oxygen in water') was obsoleted at some point, but because I ran the make module command again, the term is created again. See here: https://github.com/marieALaporte/envo/commit/d093bf0eaa9d3914762839c7403a28186c7d06cf

I understand that what I am trying to do it different from what is described in the Wiki. I preferred to use the pattern approach as we have a bunch of concentration and composition terms that we would like to propose to ENVO (we have several issues open for those), and it is a great approach to add both the terms and the equivalent axioms in one shot. 

Could you please advise what should be done here? Many thanks !
"
1214,"NTR: bed net","johnwjudkins","open",0,"2021-10-05T17:19:02Z","Definition:
A processed material that is made of a flexible meshed material and functions as a barrier to keep arthropods out of a sleeping area over which it is placed.

PMID: 32660475

A bed net is often treated with pesticide, but that is not an essential quality of this entity."
1213,"new term [Monument]: a type of structure that was explicitly created to commemorate a person or event""","jhpoelen","open",2,"2021-10-01T15:51:09Z","While meticulously transcribing bat co-roosting literature (see https://github.com/globalbioticinteractions/bat-co-roosting-database), Aja Sherman suggested to add a term for:

Monument - ""a type of structure that was explicitly created to commemorate a person or event""

Apparently, bats like to hangout with each other in monuments.  

Perhaps something to group under:

http://purl.obolibrary.org/obo/ENVO_00000073 (building)
or 
http://purl.obolibrary.org/obo/ENVO_00000070 (human construction) ?

"
1212,"Add broad syn ""seagrass"" to seagrass bed","cmungall","open",1,"2021-09-27T21:31:23Z","
http://purl.obolibrary.org/obo/ENVO_01000059

Also: fix typo on definition

Definition: A bed of a marine, saline water body which is covered by one or more speices of seagrass typically belonging to the families Posidoniaceae, Zosteraceae, Hydrocharitaceae, or Cymodoceaceae. [database_cross_reference: https://en.wikipedia.org/wiki/Seagrass][database_cross_reference: ISBN:978-0-19-514172-6]

We may also want to add seagrass to a taxon-union ontology"
1211,"NTR famine","laurenechan","open",0,"2021-09-22T14:42:29Z","Previously discussed in these issues:
https://github.com/EnvironmentOntology/envo/issues/1012
https://github.com/EnvironmentOntology/envo/issues/655#issuecomment-468924246 

"
1209,"Create design patterns for biome and ecosystem","cmungall","open",6,"2021-09-07T17:30:41Z","Currently there is inconsistent classification between biome and ecosystem, exemplified here:

 * #1208. 

terrestrial biome = 
biome
 and ('determined by' some 
    ('planetary landmass' or ('part of' some 'planetary landmass')))

def: ""A biome which is  primarily or completely situated on a landmass.""

Note the large deviation between textual def and logical def, this is a red flag see [S11 text and logical defs should match](https://douroucouli.wordpress.com/2019/07/08/ontotip-write-simple-concise-clear-operational-textual-definitions/)

(FWIW it seems the logical definition is problematic)

terrestial ecosystem has no logical definition and no textual definition.

My understanding is that ""X biome"" should always be classified under ""X ecosystem"", and what differentiates the child from the parent is that the child has reached climax state. See #787 for full discussion.

If we are agreed on this (can you confirm @pbuttigieg), I recommend:

 * creating a characteristic ""in climax state"". This could live in ENVO or PATO
 * creating a DP for ""X biome = X ecosystem and has-characteristic some in-climax-state""
 * making the textual definitions reflect this

I also recommend regularizing the DPs for ecosystems but this can be discussed in a separate ticket.

I also recommend avoid single-children and naming the non-climax state siblings but we can also discuss this in a separate ticket

Note: my personal preference is to only have a single concept and if people need to annotate an ecosystem as being in a climax state they do this with a field in their database rather than pre-composing shadow classes. However, my current proposal above is conservative and allows ENVO to retain the dual ecosystem and biome classes.

Related issues

 * #1051.  
 * #1174.  "
1208,"terrestrial biome should be a subclass of terrestrial ecosystem","cmungall","open",0,"2021-09-07T17:13:06Z","currently these two terms are unrelated:

![image](https://user-images.githubusercontent.com/50745/132384468-90e17d8d-f4df-4ac2-9efd-6e17e873c77d.png)

This means that samples classified under ""terrestrial biome"" are not found in searches for ""terrestrial ecosyystem"" which is confusing for users."
1206,"New term: milky sea","cmungall","open",0,"2021-08-30T06:17:55Z","Definition: an environmental process which occurs in marine waters and is the macroscale excitation of bioluminescence arising from a saprophytic relationship between luminous bacteria and microalgae.

Source:
https://www.nature.com/articles/s41598-021-94823-z

Cc @beroe who tweeted here https://twitter.com/beroe/status/1431331711699210243?s=19

We may want a design pattern for environmental processes that are mass expressions of molecular or cellular processes, eg photosynthesis

This one would be axiomatized using
https://www.ebi.ac.uk/ols/ontologies/go/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FGO_0008218"
