Term,Sentence,Video ID
cascadera," The ""cascadera"" or grammer, handled vigorously, separated the wood from the strand in two phases, first from the middle to the root and then from the middle to the tip",ygSijsOEano
zippers," In skeins called ""zippers"", the fiber was kept to be worked in the heat of the home, or for other purposes",ygSijsOEano
copada," All the strands were left like this, separated and hollow, forming a ""copada"" or flake, knotted at the ends",ygSijsOEano
falcadero," It was inserted into the ""falcadero"", or hole in the ground, reinforced with wedges, to facilitate a quick change",ygSijsOEano
pulley," A rope called a ""pulley"" transmitted the driving force from the wheel to the crosshead carriages",ygSijsOEano
Garrote," ""Garrote"" was called the act of tightening the garrote rope, leaving the torsional motor system prepared",ygSijsOEano
walker," The ""walker"" was the longitudinal work path of the ropemaker",ygSijsOEano
one and a half times," For a rope to come out of this measurement, it was necessary to spin it at 135 meters, that is, ""one and a half times"" the measurement, to compensate for the 50% loss it had in twisting",ygSijsOEano
retrailing," In the 7-guide ropes, which had an additional twist called ""retrailing"", the threads had to be given twice the length of the rope to be made",ygSijsOEano
Going long,""" ""Going long"" is said to leave the thread tied to the bar longer, which then had to be spliced ​​with the next one",ygSijsOEano
half-string," To group the twisted threads, when the ""half-string"" was reached, the cords were made",ygSijsOEano
overtwist," Just as for spinning, the direction of rotation of the carts was to the right, to ""overtwist"" or make cords, the direction was to the left",ygSijsOEano
Mediacord," ""Mediacord"", as its name indicates, was the name given to the set of threads that formed half of the component cords of the rope",ygSijsOEano
andas," The cords were made with tackle called ""andas""",ygSijsOEano
"Have a heavy hand,"," ""Have a heavy hand,"" it was said when they had been spinning for several hours, and the sensitivity in their hands was lost, letting out the irregular and thicker thread in some parts",ygSijsOEano
butt," By twisting the groups of threads, joined at the ""butt"" of the rope, the length was progressively reduced",ygSijsOEano
quilting," The direction of rotation in ""quilting"" was like in spinning, that is, to the right",ygSijsOEano
cerrete," In this phase three people were necessary, because, while one turned the wheel, another held the hook or ""cerrete"", so called because of its function of closing the rope",ygSijsOEano
carriage," For larger ropes, a rig called a ""carriage"" was used",ygSijsOEano
retallado," The strings that had to work with a lot of friction needed greater hardness, so another twist called ""retallado"" was given",ygSijsOEano
lasos," However, the threads to sew the espadrilles and saddlebags had to be ""lasos"", that is, slightly twisted, because this way they had much more strength",ygSijsOEano
lystra," The hemp ropes required a new process before being folded, polishing consisted of removing the ""lystra"" or wood from the hemp after having soaked the rope",ygSijsOEano
lyestra," And this is a hull that is for the stronger ropes, with all the ""lyestra"" let's call it wood that the hemp of origin carries, it is eliminated by having wet the rope before and with this, to explain more clearly so that it is understood , as if it were filing it and behind this comes a cloth that is simply a wet bag, which is passed through the rope and left to dry",ygSijsOEano
